stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_IBNR
241960,,WIELICZKA RYNEK-KOPALNIA,,49.985686,20.056641,,,,3363
80440,,WIELICZKA PARK,,49.9890933,20.0494485,,,,3323
242822,,WIELICZKA BOGUCICE,,49.9984505,20.0366077,,,,3364
79954,,KRAKÓW BIEŻANÓW DROŻDŻOWNIA,,50.0101025,20.0353932,,,,3123
79947,,KRAKÓW BIEŻANÓW,,50.0212218,20.0296782,,,,3124
79210,,KRAKÓW PROKOCIM,,50.0265037,19.9989288,,,,3135
79905,,KRAKÓW PŁASZÓW,,50.0349845,19.9750423,,,,86
79939,,KRAKÓW ZABŁOCIE,,50.0484386,19.956833,,,,3139
239140,,KRAKÓW GRZEGÓRZKI,,50.0575340858249,19.9479190782688,,,,6621
80416,,KRAKÓW GŁÓWNY,,50.0683947,19.9475035,,,,85
80374,,KRAKÓW ŁOBZÓW,,50.0819062,19.9172491,,,,3130
260937,,KRAKÓW BRONOWICE,,50.0828134,19.8919081,,,,3373
258462,,KRAKÓW MŁYNÓWKA,,50.0817813,19.8585219,,,,3365
258461,,KRAKÓW ZAKLIKI,,50.079771,19.849453,,,,3366
258463,,KRAKÓW OLSZANICA,,50.0764518,19.8254701,,,,3367
235879,,KRAKÓW LOTNISKO,,50.0708948,19.8014213,,,,3133
79467,,MIECHÓW,,50.3546514,20.0112144,,,,3173
79459,,KAMIEŃCZYCE,,50.3272584,20.0057885,,,,3105
79434,,SZCZEPANOWICE,,50.3010946,20.0246682,,,,3298
79426,,SMROKÓW,,50.2747111,20.0466248,,,,3280
79384,,SŁOMNIKI,,50.2483244,20.0640672,,,,3278
79376,,SŁOMNIKI MIASTO,,50.2358343,20.0763817,,,,3279
79368,,NIEDŹWIEDŹ,,50.2057717,20.08153,,,,3190
79350,,GOSZCZA,,50.1849737,20.0609405,,,,3080
79343,,ŁUCZYCE,,50.1626561,20.0744024,,,,3163
79335,,BARANÓWKA,,50.1467234,20.0953619,,,,3026
79327,,ZASTÓW,,50.121563,20.0648136,,,,3349
280603,,KRAKÓW PIASTÓW,,50.1069817,20.0141072,,,,6702
79236,,KRAKÓW BATOWICE,,50.1074617,19.9954911,,,,3122
77107,,OŚWIĘCIM,,50.0411342,19.1991955,,,,146
77461,,DWORY,,50.0455786,19.2854139,,,,4099
78139,,WŁOSIENICA,,50.0229022,19.3291674,,,,3331
78121,,PRZECISZÓW,,50.0132897,19.3696046,,,,3228
279915,,ZATOR PARK ROZRYWKI,,50.0053428,19.4063413,,,,6585
78113,,ZATOR,,50.002439,19.4280259,,,,3350
78006,,SPYTKOWICE,,49.9950725,19.4764965,,,,717
78089,,SPYTKOWICE KĘPKI,,49.9987488,19.5228164,,,,3282
78071,,RYCZÓW,,49.9893095,19.5399543,,,,3255
78063,,PÓŁWIEŚ,,49.9761216,19.5764597,,,,3227
